Year,North America,U.S. (incl. Hawaii),Canada,Mexico,Other,Latin America,Brazil,Argentina,Other,Europe,U.K.,Russia,France,Italy,Germany,Spain,Other,Asia,China (incl. Hong Kong and Macau),Indonesia,Thailand,Philippines,Taiwan,Malaysia,Pakistan,Vietnam,Republic of Korea,Other,Japan,Oceania,Australia,Other,Middle East,GCC*,Other,Africa,South Africa,Other,Others,Worldwide sales,Sales outside of Japan
2007,2922823,2620826,201326,66209,34462,278730,72313,28581,177836,1246753,144538,157895,108803,145217,133010,81677,475613,1333766,511403,152455,282088,45091,106507,82207,39607,20154,7500,86754,1587335,275869,244846,31023,484778,422265,62513,295117,152821,142296,4097,8429268,6841933
2008,2536741,2217662,224158,63305,31616,275321,80572,31168,163581,1121082,125519,204849,100096,113172,94563,57219,425664,1445695,598162,209396,262205,45915,79131,101884,31895,24576,6068,86463,1470043,277733,245653,32080,590941,515898,75043,274700,126499,148201,3846,7996102,6526059
2009,2053172,1770253,205115,51991,25813,215810,94709,28482,92619,888343,117339,77000,91311,97428,131303,54055,319907,1535942,716134,190731,230585,46193,112097,82016,38813,30120,7105,82148,1375509,231215,206827,24388,484324,433043,51281,191530,88663,102867,3707,6979552,5604043
2010,2008089,1763532,171972,46769,25816,269513,99474,32859,137180,787343,100885,89262,66146,79311,76869,47944,326926,1899188,857014,281055,326007,56855,101658,92109,47423,31162,10513,95392,1566157,249692,221244,28448,555495,489612,65883,190227,98068,92159,2034,7527738,5961581
2011,1880472,1644661,162260,48589,24962,259963,99552,36355,124056,803681,91275,133789,75021,70250,83026,43051,307269,2003141,895157,314878,290061,54593,122631,89255,47604,29815,9129,150018,1200976,215854,187971,27883,525670,478450,47220,205749,106311,99438,1347,7096853,5895877
2012,2359665,2082504,192058,56278,28825,321516,116579,47818,157119,813866,101822,169282,74110,57399,83307,38054,289892,2344417,853454,400122,516086,65396,123412,106520,44010,24934,15802,194681,1692228,258829,225015,33814,688226,624401,63825,237384,117971,119413,1183,8717314,7025086
2013,2520011,2236042,195360,60740,27869,392940,177982,56439,158519,819191,106642,171616,78073,56691,76354,38452,291363,2362472,930884,435430,445464,75587,123936,92521,38571,33313,12879,173887,1584316,258052,221550,36502,761956,669661,92295,247499,123270,124229,1319,8947756,7363440
2014,2670016,2373767,200851,69597,25801,403019,195478,63082,144459,855477,115429,182613,78145,63949,71528,45456,298357,2373214,1047498,388711,327027,106110,138126,103637,42905,41205,13310,164685,1554318,247161,210501,36660,793391,699946,93445,248472,124107,124365,2274,9147342,7593024
2015,2817086,2499263,209049,84779,23995,377891,178658,67085,132148,843707,123813,119655,82981,71900,68959,56843,319556,2389606,1139239,326587,266005,125027,130074,95861,65196,51246,15796,174575,1497869,253490,214927,38563,778865,698051,80814,226885,119362,107523,3160,9188559,7690690
2016,2797542,2449629,217792,104955,25166,391794,179441,81295,131058,898019,119315,119949,88120,78307,76104,64200,352024,2531974,1225908,389241,245087,158728,139040,65110,62216,58701,19887,168056,1580851,256395,218738,37657,584389,511711,72678,180994,114014,66980,1769,9223727,7642876
2017,2790506,2434516,224547,105464,25979,419028,190862,92052,136114,969077,124946,118747,98036,90002,85861,70977,380508,2622304,1302357,371272,240137,183908,128256,70445,62946,60303,24316,178364,1633161,268319,225266,43053,494956,419165,75791,184031,124441,59590,2398,9383780,7750619
2018,2798221,2426735,231646,108761,31079,441280,202843,94110,144327,1005370,124843,133777,106136,90517,85850,79505,384742,2855005,1486793,357390,315113,153004,123675,66564,66523,66446,30123,189374,1564309,269227,225880,43347,413546,346788,66758,191597,130397,61200,3193,9541748,7977439
2019,2757160,2383348,237091,105663,31058,407151,217430,54021,135700,1051550,130124,127251,118988,96698,93802,84881,399806,2970289,1620698,332354,332380,162011,137241,70009,46975,80839,22876,164906,1610169,256324,215378,40946,454894,368433,86461,203931,127062,76869,2785,9714253,8104084
