Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
North America,1671040,1454890,1231623,1458072,1255735,1776257,1857696,1985503,2035078,2124725,1983795,1928982,1855805
U.S.,1334183,1117409,869564,945432,793363,1201364,1288667,1334694,1336582,1382246,1263546,1241616,1194824
Canada,302753,287395,319565,458592,412776,519217,505335,579411,590723,601716,571535,497354,467998
Mexico,34104,50086,42494,54048,49596,55676,63694,71398,107773,140763,148714,190012,192983
Latin America,149017,144671,138968,150248,145486,187091,243130,261513,253713,274129,324035,350959,313977
Brazil,62726,67246,63951,66237,65969,82502,139804,161907,173991,175901,197528,209033,187866
Argentina,69439,64808,62393,69950,69739,92591,94397,96350,76283,97768,125317,141164,125695
Venezuela,16852,12617,12624,14061,9778,11998,8929,3256,3439,460,1190,762,416
Europe,806542,688282,507332,461735,460270,461418,543423,616047,658908,688689,779635,773880,776886
U.K.,277637,213400,127401,136927,128106,109496,179343,172376,190209,180396,144070,129378,147802
Turkey,161229,126596,72071,83384,91664,76925,102262,131508,115900,150599,279902,257084,251949
France,262244,240444,207501,158504,149813,200806,192432,225404,228288,237848,233652,248537,224073
Russia,0,0,0,0,0,0,0,13671,32876,31248,31843,39394,54187
Czech Republic,105432,107842,100359,82920,90687,74191,69386,72492,91198,88509,90168,99487,98875
Kazakhstan,0,0,0,0,0,0,0,596,437,89,0,0,0
Asia,1387333,1589973,1501436,2027482,2062779,2565770,2642501,2648440,2577212,2517651,2556134,2570815,2570331
Indonesia,152681,198400,178581,264622,306284,409594,428534,420649,368155,386516,396605,197318,172314
Thailand,499246,573363,434827,629944,507822,881447,842868,724737,625255,549134,523590,588939,570852
Philippines,19359,22888,21234,28432,26128,30784,35505,41648,49057,55039,61972,46121,54037
Malaysia,64941,74200,60709,65137,59042,71250,64247,74604,74145,51532,54807,48181,58347
Taiwan,98569,65594,90795,117696,151898,166579,169338,199486,182335,142620,117745,93752,97395
Vietnam,18461,25502,28014,30618,27245,22230,31962,34786,44413,50842,41445,52666,50120
India,52402,54251,51151,75515,136525,192040,173769,147791,158714,146503,153386,160951,116393
China,445647,546649,598521,769941,801736,749206,858124,962979,1011041,1073372,1145414,1317009,1404305
Pakistan,36027,29126,37604,45577,46099,42640,38154,41760,64097,62093,61170,65878,46568
Japan,4226137,4012388,2792274,3282855,2760028,3492913,3356899,3266805,3188444,3166338,3189556,3138751,3415864
Australia,148936,141447,96836,119473,93675,101381,106278,90125,91616,90240,60942,,
Africa,145685,179167,102822,123484,150840,151699,142168,136392,124104,112216,113414,122186,120654
South Africa,145685,179167,102822,123484,150840,150015,141493,135418,122298,110791,112997,121156,119788
Egypt,0,0,0,0,0,1684,675,974,1806,1425,417,1030,746
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,120
Worldwide production,8534690,8210818,6371291,7623349,6928813,8736529,8892095,9004825,8929075,8973988,9007511,8885573,9053517
Production outside of Japan,4308553,4198430,3579017,4340494,4168785,5243616,5535196,5738020,5740631,5807650,5817955,5746822,5637653
