Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
North America,2922823,2536741,2053172,2008089,1880472,2359665,2520011,2670016,2817086,2797542,2790506,2798221,2757160
U.S. (incl. Hawaii),2620826,2217662,1770253,1763532,1644661,2082504,2236042,2373767,2499263,2449629,2434516,2426735,2383348
Canada,201326,224158,205115,171972,162260,192058,195360,200851,209049,217792,224547,231646,237091
Mexico,66209,63305,51991,46769,48589,56278,60740,69597,84779,104955,105464,108761,105663
Other,34462,31616,25813,25816,24962,28825,27869,25801,23995,25166,25979,31079,31058
Latin America,278730,275321,215810,269513,259963,321516,392940,403019,377891,391794,419028,441280,407151
Brazil,72313,80572,94709,99474,99552,116579,177982,195478,178658,179441,190862,202843,217430
Argentina,28581,31168,28482,32859,36355,47818,56439,63082,67085,81295,92052,94110,54021
Other,177836,163581,92619,137180,124056,157119,158519,144459,132148,131058,136114,144327,135700
Europe,1246753,1121082,888343,787343,803681,813866,819191,855477,843707,898019,969077,1005370,1051550
U.K.,144538,125519,117339,100885,91275,101822,106642,115429,123813,119315,124946,124843,130124
Russia,157895,204849,77000,89262,133789,169282,171616,182613,119655,119949,118747,133777,127251
France,108803,100096,91311,66146,75021,74110,78073,78145,82981,88120,98036,106136,118988
Italy,145217,113172,97428,79311,70250,57399,56691,63949,71900,78307,90002,90517,96698
Germany,133010,94563,131303,76869,83026,83307,76354,71528,68959,76104,85861,85850,93802
Spain,81677,57219,54055,47944,43051,38054,38452,45456,56843,64200,70977,79505,84881
Other,475613,425664,319907,326926,307269,289892,291363,298357,319556,352024,380508,384742,399806
Asia,1333766,1445695,1535942,1899188,2003141,2344417,2362472,2373214,2389606,2531974,2622304,2855005,2970289
China (incl. Hong Kong and Macau),511403,598162,716134,857014,895157,853454,930884,1047498,1139239,1225908,1302357,1486793,1620698
Indonesia,152455,209396,190731,281055,314878,400122,435430,388711,326587,389241,371272,357390,332354
Thailand,282088,262205,230585,326007,290061,516086,445464,327027,266005,245087,240137,315113,332380
Philippines,45091,45915,46193,56855,54593,65396,75587,106110,125027,158728,183908,153004,162011
Taiwan,106507,79131,112097,101658,122631,123412,123936,138126,130074,139040,128256,123675,137241
Malaysia,82207,101884,82016,92109,89255,106520,92521,103637,95861,65110,70445,66564,70009
Pakistan,39607,31895,38813,47423,47604,44010,38571,42905,65196,62216,62946,66523,46975
Vietnam,20154,24576,30120,31162,29815,24934,33313,41205,51246,58701,60303,66446,80839
Republic of Korea,7500,6068,7105,10513,9129,15802,12879,13310,15796,19887,24316,30123,22876
Other,86754,86463,82148,95392,150018,194681,173887,164685,174575,168056,178364,189374,164906
Japan,1587335,1470043,1375509,1566157,1200976,1692228,1584316,1554318,1497869,1580851,1633161,1564309,1610169
Oceania,275869,277733,231215,249692,215854,258829,258052,247161,253490,256395,268319,269227,256324
Australia,244846,245653,206827,221244,187971,225015,221550,210501,214927,218738,225266,225880,215378
Other,31023,32080,24388,28448,27883,33814,36502,36660,38563,37657,43053,43347,40946
Middle East,484778,590941,484324,555495,525670,688226,761956,793391,778865,584389,494956,413546,454894
GCC*,422265,515898,433043,489612,478450,624401,669661,699946,698051,511711,419165,346788,368433
Other,62513,75043,51281,65883,47220,63825,92295,93445,80814,72678,75791,66758,86461
Africa,295117,274700,191530,190227,205749,237384,247499,248472,226885,180994,184031,191597,203931
South Africa,152821,126499,88663,98068,106311,117971,123270,124107,119362,114014,124441,130397,127062
Other,142296,148201,102867,92159,99438,119413,124229,124365,107523,66980,59590,61200,76869
Others,4097,3846,3707,2034,1347,1183,1319,2274,3160,1769,2398,3193,2785
Worldwide sales,8429268,7996102,6979552,7527738,7096853,8717314,8947756,9147342,9188559,9223727,9383780,9541748,9714253
Sales outside of Japan,6841933,6526059,5604043,5961581,5895877,7025086,7363440,7593024,7690690,7642876,7750619,7977439,8104084
